instrument_id,timestamp,open,high,low,close,volume
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70382.0,70378.0,70378.0,0.3692
LDO-USD-PERP.HYPERLIQUID,1771149480000,0.3559,0.3559,0.3557,0.3557,87.8
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.916,89.883,89.892,205.79
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,331.0
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,551.0
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.916,89.883,89.893,205.92
SUI-USD-PERP.HYPERLIQUID,1771149480000,1.0223,1.0223,1.022,1.0221,6234.6
INJ-USD-PERP.HYPERLIQUID,1771149480000,3.2422,3.2422,3.2422,3.2422,13.5
MOVE-USD-PERP.HYPERLIQUID,1771149480000,0.02532,0.02532,0.02532,0.02532,604.0
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.5911,1.588,1.591,28855.0
kSHIB-USD-PERP.HYPERLIQUID,1771149480000,0.006851,0.006851,0.00685,0.00685,111260.0
ACE-USD-PERP.HYPERLIQUID,1771149480000,0.1795,0.1795,0.1795,0.1795,86.77
BERA-USD-PERP.HYPERLIQUID,1771149480000,0.66572,0.6663,0.66572,0.66621,2312.4
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.131,31.121,31.131,17.45
MNT-USD-PERP.HYPERLIQUID,1771149480000,0.67266,0.67305,0.67252,0.67257,4433.9
SPX-USD-PERP.HYPERLIQUID,1771149480000,0.33218,0.33218,0.33193,0.33193,109.0
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.5911,1.588,1.5909,29050.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,310.58,309.85,310.29,698.75
ARB-USD-PERP.HYPERLIQUID,1771149480000,0.11893,0.11897,0.11893,0.11897,1652.8
PUMP-USD-PERP.HYPERLIQUID,1771149480000,0.002304,0.002304,0.002303,0.002304,24534.0
W-USD-PERP.HYPERLIQUID,1771149480000,0.02103,0.02103,0.02103,0.02103,6211.4
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,310.58,309.85,310.29,698.87
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70382.0,70378.0,70378.0,0.38581
DOT-USD-PERP.HYPERLIQUID,1771149480000,1.4144,1.4145,1.4144,1.4145,480.8
ENA-USD-PERP.HYPERLIQUID,1771149480000,0.12727,0.12727,0.12727,0.12727,507.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,310.58,309.85,310.3,699.12
SPX-USD-PERP.HYPERLIQUID,1771149480000,0.33218,0.33218,0.33193,0.33218,499.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,310.58,309.85,310.3,708.03
ETH-USD-PERP.HYPERLIQUID,1771149480000,2067.5,2067.5,2066.9,2066.9,6.217
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.131,31.121,31.131,17.82
MINA-USD-PERP.HYPERLIQUID,1771149480000,0.068184,0.068184,0.068184,0.068184,251.0
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.916,89.883,89.901,234.77
SUSHI-USD-PERP.HYPERLIQUID,1771149480000,0.21635,0.21635,0.21635,0.21635,71.2
W-USD-PERP.HYPERLIQUID,1771149480000,0.02103,0.02103,0.02103,0.02103,6212.5
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,310.58,309.85,310.3,711.03
BSV-USD-PERP.HYPERLIQUID,1771149480000,17.777,17.777,17.777,17.777,0.97
DYDX-USD-PERP.HYPERLIQUID,1771149480000,0.11203,0.11203,0.11203,0.11203,100.0
JUP-USD-PERP.HYPERLIQUID,1771149480000,0.16703,0.16703,0.16703,0.16703,103.0
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,828.0
APT-USD-PERP.HYPERLIQUID,1771149480000,0.9725,0.9725,0.9725,0.9725,19.64
CFX-USD-PERP.HYPERLIQUID,1771149480000,0.056681,0.05671,0.056681,0.05671,32163.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70382.0,70378.0,70378.0,0.38598
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.5911,1.588,1.591,34234.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,310.58,309.85,310.32,715.64
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70382.0,70378.0,70379.0,0.38693
LIT-USD-PERP.HYPERLIQUID,1771149480000,1.7099,1.7109,1.709,1.7109,759.0
AVAX-USD-PERP.HYPERLIQUID,1771149480000,9.5889,9.5889,9.5886,9.5886,42.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70382.0,70378.0,70380.0,0.40942
CELO-USD-PERP.HYPERLIQUID,1771149480000,0.089226,0.089286,0.089226,0.089286,8266.0
ETH-USD-PERP.HYPERLIQUID,1771149480000,2067.5,2067.5,2066.9,2067.2,6.2243
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.945,89.883,89.945,499.41
TRB-USD-PERP.HYPERLIQUID,1771149480000,16.485,16.485,16.485,16.485,1.18
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,310.76,309.85,310.76,924.75
kPEPE-USD-PERP.HYPERLIQUID,1771149480000,0.004796,0.004797,0.004796,0.004797,10858.0
ADA-USD-PERP.HYPERLIQUID,1771149480000,0.29524,0.29524,0.29524,0.29524,56.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70382.0,70378.0,70379.0,0.41042
ETH-USD-PERP.HYPERLIQUID,1771149480000,2067.5,2067.5,2066.9,2067.3,6.2328
PENGU-USD-PERP.HYPERLIQUID,1771149480000,0.007602,0.007602,0.007599,0.007599,12.0
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.945,89.883,89.939,501.95
VVV-USD-PERP.HYPERLIQUID,1771149480000,3.9262,3.9334,3.9146,3.9252,4188.35
GRASS-USD-PERP.HYPERLIQUID,1771149480000,0.22218,0.22218,0.22218,0.22218,756.9
SUPER-USD-PERP.HYPERLIQUID,1771149480000,0.13115,0.13115,0.13115,0.13115,122.0
TRUMP-USD-PERP.HYPERLIQUID,1771149480000,3.5225,3.5225,3.5225,3.5225,5.0
APEX-USD-PERP.HYPERLIQUID,1771149480000,0.36495,0.36495,0.36495,0.36495,796.0
BLUR-USD-PERP.HYPERLIQUID,1771149480000,0.022238,0.022238,0.022238,0.022238,1.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70382.0,70378.0,70380.0,0.49573
POL-USD-PERP.HYPERLIQUID,1771149480000,0.10977,0.10977,0.10977,0.10977,143.0
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.5919,1.588,1.5919,34241.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,310.76,309.85,310.45,925.7
COMP-USD-PERP.HYPERLIQUID,1771149480000,23.061,23.062,23.061,23.062,55.56
TAO-USD-PERP.HYPERLIQUID,1771149480000,189.53,189.53,189.53,189.53,1.895
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,936.0
WLFI-USD-PERP.HYPERLIQUID,1771149480000,0.10693,0.10694,0.10693,0.10694,25319.0
XLM-USD-PERP.HYPERLIQUID,1771149480000,0.17746,0.17754,0.17746,0.17754,590.0
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.5919,1.588,1.5919,34284.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,311.08,1226.19
kLUNC-USD-PERP.HYPERLIQUID,1771149480000,0.036727,0.036727,0.036506,0.036506,99666.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70385.0,70378.0,70385.0,0.52545
DYDX-USD-PERP.HYPERLIQUID,1771149480000,0.11203,0.11205,0.11203,0.11205,3549.6
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.141,31.121,31.141,66.54
TST-USD-PERP.HYPERLIQUID,1771149480000,0.011704,0.011704,0.011704,0.011704,1698.0
VVV-USD-PERP.HYPERLIQUID,1771149480000,3.9262,3.9334,3.9146,3.9317,4201.7
XPL-USD-PERP.HYPERLIQUID,1771149480000,0.10127,0.10134,0.10127,0.10134,13784.0
kLUNC-USD-PERP.HYPERLIQUID,1771149480000,0.036727,0.036727,0.036485,0.036485,106890.0
BIO-USD-PERP.HYPERLIQUID,1771149480000,0.025542,0.025542,0.025542,0.025542,656.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70388.0,70378.0,70388.0,0.52603
